id,firstName,lastName,minutes,dataUsage
1,buford,halvorson,4282,4295
2,dwayne,windler,2894,4802
3,benjamin,hackett,639,1847
4,darell,casper,656,1223
5,herb,jenkins,510,4359
6,shanti,bradtke,3758,4721
7,lavone,carroll,2854,3995
8,edmond,gulgowski,2817,3482
9,rosalba,tromp,672,4483
10,diego,feeney,3711,4992
11,nickole,bernier,1421,4987
12,apryl,stiedemann,4099,4997
13,kena,blanda,858,2503
14,jeffrey,marks,4876,4946
15,royce,bahringer,4113,4328
16,eugenia,williamson,743,2490
17,jeffry,beahan,3824,4639
18,grady,nader,333,2769
19,ward,ondricka,961,3246
20,glenda,cremin,4969,4983
21,marni,spinka,1635,1845
22,kenton,langworth,4853,4898
23,bradford,reilly,3229,3657
24,mervin,stiedemann,4899,4929
25,lolita,pollich,2863,4428
26,allen,langosh,1658,3950
27,darius,ullrich,2411,4568
28,laurine,turcotte,1603,2516
29,sylvie,dickinson,3865,4620
30,january,bailey,4432,4982
31,drew,haag,2322,4189
32,ira,hudson,872,1077
33,nila,greenholt,4524,4666
34,kymberly,turcotte,3828,4809
35,shona,dooley,4774,4781
36,newton,graham,2846,3309
37,vera,howell,3283,4548
38,errol,gulgowski,2021,2281
39,jorge,stanton,1092,1497
40,effie,balistreri,4223,4882
41,kelvin,harber,4403,4408
42,arthur,schamberger,830,2892
43,sidney,dubuque,745,3510
44,jean,stokes,1191,2381
45,loyd,vandervort,4726,4932
46,golda,aufderhar,3270,4352
47,porter,kerluke,4438,4837
48,wilbert,stokes,205,3520
49,oswaldo,bahringer,300,3799
50,samual,yost,2491,3503
51,alvin,walker,201,3482
52,bud,green,873,2313
53,brigida,kreiger,4302,4855
54,delbert,senger,678,1575
55,chanel,sporer,3790,4837
56,robt,strosin,4584,4714
57,edmond,gerhold,1900,3598
58,florentina,wiza,3665,4252
59,michel,hamill,2097,2655
60,delbert,wuckert,126,3872
61,refugio,wuckert,4808,4910
62,marisela,murphy,4369,4921
63,eun,grant,2800,3008
64,garry,kreiger,4014,4449
65,oscar,treutel,2260,4004
66,tyree,kling,378,4651
67,coy,cronin,206,3910
68,lianne,crona,293,2546
69,dina,huels,1612,3074
70,isabell,williamson,3183,3763
71,stephan,orn,672,1198
