id,firstName,lastName,minutes,dataUsage
1,蒼,石井,992,4955
2,瑛太,藤井,4109,4967
3,悠真,宮崎,1932,4773
4,陽子,田中,3645,4317
5,亮太,野村,4776,4815
6,未来,森田,1779,4367
7,琴音,小川,3544,4549
8,陽太,西村,1632,2592
9,直樹,宮本,581,833
10,大輝,野村,678,4555
11,杏,佐藤,1626,3517
12,花音,田中,662,1527
13,悠,横山,2915,3914
14,太郎,斎藤,4099,4217
15,大輝,坂本,4305,4495
16,彩,河野,4942,4978
17,楓,後藤,3987,4642
18,悠太,佐々木,1645,2835
19,美羽,山下,193,4777
20,優花,武田,1203,4540
21,大樹,山田,4035,4729
22,仁,内田,4802,4855
23,悠,坂本,1532,4113
24,大樹,和田,1542,3910
25,颯,橋本,1942,2250
26,結衣,宮崎,4563,4916
27,結衣,橋本,2372,3355
28,拓海,菅原,3302,3963
29,恵,吉田,3841,4305
30,美月,後藤,744,3579
31,さくら,斎藤,4779,4834
32,仁,久保,278,581
33,美羽,宮本,3939,4008
34,優奈,西村,804,1686
35,葵,原,3961,4090
36,奏太,山口,1739,4730
37,優花,村田,1316,2673
38,拓海,上田,3113,3145
39,優衣,松田,1723,4487
40,楓,小島,3866,4265
41,航,宮崎,2522,4297
42,颯,平野,2566,3212
43,美月,木村,1586,2764
44,愛,千葉,1100,3558
45,莉子,武田,4151,4170
46,優,工藤,2754,3501
47,拓海,久保,455,2565
48,駿,佐々木,4947,4974
49,陽斗,高橋,1187,3535
50,仁,野口,968,2595
51,太郎,岡本,2003,4253
52,蓮,井上,4938,4948
53,拓海,松田,505,3054
54,一輝,斉藤,2677,4177
55,桜,石田,2685,3480
56,瑛太,武田,1397,1723
57,舞,西村,1502,3025
58,匠,小島,4799,4860
59,拓海,谷口,2817,3754
60,遼,加藤,817,2951
61,琴音,松田,1497,4267
62,優,野村,970,2578
63,陽,岡田,1335,3492
64,陽菜,藤井,323,3199
65,彩花,前田,1783,4200
66,愛美,工藤,2269,2385
67,美桜,森,2164,2768
68,美月,山崎,2068,4614
69,芽衣,近藤,954,4502
70,光,丸山,1803,2777
71,仁,小山,758,2096
72,彩花,中川,117,2532
73,奈々,竹内,349,997
74,大樹,加藤,2888,3390
75,遥,木村,1919,3385
76,楓,村上,2812,4653
