id,firstName,lastName,minutes,dataUsage
1,teodoro,windler,1410,1663
2,dale,legros,1620,3825
3,theressa,terry,3391,3967
4,hassan,mertz,3662,4528
5,natashia,bruen,2578,2884
6,carita,williamson,3627,4684
7,trang,howell,4235,4378
8,mariano,lockman,444,4517
9,rudy,gorczany,524,696
10,muoi,mosciski,1339,3637
11,santa,nitzsche,1334,4576
12,juliette,kulas,3879,4244
13,janean,gulgowski,3021,4801
14,edmond,turner,631,2090
15,marlon,rodriguez,855,4501
16,suzy,goodwin,2329,4368
17,robert,kuhlman,4657,4994
18,takisha,koelpin,1547,2636
19,wesley,mcglynn,3293,4129
20,sharyn,schumm,1580,2523
21,zaida,schumm,2071,4557
22,ettie,torphy,2277,2323
23,chong,kassulke,1108,4723
24,jeni,hilpert,3625,4902
25,beth,renner,2096,2891
26,kenia,abshire,2341,4466
27,lavon,hoeger,4952,4991
28,marchelle,lehner,3802,4433
29,rafael,pouros,842,2247
30,shaunna,robel,2128,4473
31,fletcher,gottlieb,1539,4962
32,jeffie,goldner,1562,4106
33,christian,ruecker,1024,4973
34,alexis,kihn,3622,4992
35,kacy,friesen,1425,4261
36,edward,stokes,599,761
37,carlo,bailey,700,3866
38,blossom,nienow,2580,4499
39,jaleesa,treutel,980,3586
40,carmen,bartell,714,3102
41,audra,zboncak,4865,4867
42,tameika,sporer,4791,4856
43,lincoln,trantow,792,3039
44,keneth,mccullough,1022,2151
45,lory,wilkinson,1700,1824
46,keva,kiehn,2816,3409
47,josiah,kerluke,1082,3640
48,erin,schiller,2018,3758
49,jessie,padberg,306,3722
50,serina,runolfsdottir,3490,4383
51,della,veum,3438,3491
52,melony,grant,1792,1911
53,joan,feil,141,2795
54,palmer,hackett,1737,2539
55,lorna,halvorson,4426,4478
56,celinda,west,333,3817
57,stan,stamm,1689,3390
58,edris,cormier,326,4032
59,shaquana,bins,4384,4812
60,sean,wolf,4435,4439
61,so,stracke,3796,4835
62,marvel,mueller,443,2664
63,louie,murazik,4937,4963
64,marguerita,bauch,1305,3408
65,marya,bruen,3328,3885
66,teodoro,reynolds,2421,4311
67,johnathan,littel,3802,4433
68,evonne,breitenberg,4917,4967
69,val,little,4629,4866
70,rickie,brown,3628,3903
71,jerrod,shields,4322,4957
72,johnie,terry,1557,3455
73,eldon,thompson,4317,4616
74,evan,ritchie,4930,4983
75,carroll,rosenbaum,2692,4244
76,sarai,wintheiser,3939,4532
77,eugene,crona,4312,4632
78,roberto,runolfsson,626,2802
79,phyliss,abbott,898,3979
80,diego,thiel,350,3729
81,luis,steuber,2670,3924
82,luther,gottlieb,1159,2118
83,rex,osinski,4465,4837
84,huey,shanahan,698,3815
85,dane,mraz,3434,4527
86,rachael,morissette,3399,4539
87,melany,batz,879,1375
88,ernie,ritchie,4520,4978
89,douglass,mccullough,3716,4307
90,cornell,hane,753,1859
91,jude,champlin,2797,3898
92,mohammad,dickinson,2981,4794
93,hulda,mclaughlin,700,1048
94,kathlene,hackett,2795,3518
95,ian,schmeler,1466,4813
96,shavonda,kessler,3607,4873
97,errol,monahan,4650,4866
98,benita,schumm,3042,4298
99,santo,erdman,1332,2259
100,rafael,torp,2833,3841
101,cory,schinner,955,1448
102,sharie,dare,2908,3828
103,delta,ratke,1781,2006
104,mitchell,o'conner,535,2123
105,alane,pagac,240,583
106,hassie,lebsack,4927,4938
107,coralie,crona,2892,4316
108,myrtle,turner,1971,4218
109,hector,johns,4063,4989
110,samella,goldner,832,2164
111,josh,volkman,2654,4022
112,corrina,moore,3999,4515
113,lanny,leannon,4758,4836
114,maybelle,barrows,2224,3450
