id,firstName,lastName,minutes,dataUsage
1,freida,abbott,4313,4996
2,alysa,halvorson,3415,4137
3,allan,wisoky,611,4663
4,beaulah,satterfield,672,2629
5,brain,rolfson,623,4735
6,kimbra,oberbrunner,1866,4087
7,delila,beatty,820,3174
8,velvet,wilkinson,2426,3210
9,myles,leuschke,256,2215
10,sadye,christiansen,2305,3335
11,camelia,simonis,3608,4185
12,eliza,abernathy,2953,3361
13,spring,monahan,2683,4978
14,earnest,boyle,341,3264
15,leonardo,miller,4712,4801
16,numbers,schaefer,1647,3756
17,floria,hegmann,3558,4658
18,sheldon,hane,2378,4524
19,brady,jaskolski,961,4723
20,stasia,kirlin,2069,3879
21,taylor,lemke,1866,4981
22,genaro,beatty,891,1148
23,guillermo,gleason,4484,4516
24,angel,miller,1003,1327
25,sherill,franecki,4311,4478
26,abe,champlin,4411,4658
27,margrett,ryan,4920,4959
28,cecil,mann,4585,4898
29,loria,sauer,4944,4984
30,cletus,larson,4962,4968
31,janelle,lemke,2989,4420
32,maryalice,kiehn,2767,3738
33,jacquiline,fritsch,1900,2464
34,juli,hamill,4604,4935
35,brook,bins,2651,3903
36,vertie,kautzer,4945,4956
37,faye,robel,1386,1763
38,aura,kilback,1619,1683
39,cris,bruen,468,1709
40,bok,gerlach,4534,4743
41,alexis,hudson,687,2483
42,adelaide,weimann,3878,4819
43,pablo,anderson,2060,4374
44,kristle,roberts,2382,3179
45,earnest,hand,3279,3552
46,scottie,yundt,3155,3690
47,veta,jenkins,3315,3572
48,dante,cartwright,297,3713
49,bruno,rice,2885,4905
50,geneva,farrell,2476,3170
51,glenda,beer,4791,4947
52,dorene,marvin,3183,4751
53,carman,walker,2721,3573
54,todd,osinski,1648,2293
55,caprice,blick,303,4122
56,julia,abernathy,2237,3019
57,miguelina,feil,724,4482
58,jeffie,cummings,3327,4275
59,jackie,kuhn,4806,4848
60,ashleigh,mccullough,3296,3462
61,lulu,schultz,3514,3914
62,cherrie,vonrueden,310,3282
63,nigel,tromp,1613,4665
64,lakita,heller,4450,4674
65,larae,pfeffer,4578,4673
66,osvaldo,keebler,2104,4151
67,frank,kozey,3083,3822
68,edelmira,bradtke,4402,4446
69,louie,barrows,1463,2896
70,len,maggio,2135,2271
71,efrain,feil,1355,2533
72,verdie,bayer,2147,2822
73,maxwell,harvey,437,4929
74,thad,kuphal,2390,3319
75,janeen,mcdermott,4175,4857
76,teresa,smitham,1662,3234
77,clementina,nader,1854,4274
78,chas,jast,3828,4578
79,glenn,douglas,1422,4428
80,marinda,pfeffer,2710,3930
81,jody,sauer,2817,3293
82,isa,murazik,3476,4101
83,louvenia,sauer,2979,3893
84,abbie,zemlak,3064,3869
85,scott,orn,2825,4812
86,fredrick,russel,3131,4641
87,reuben,dooley,1433,1438
88,myrtice,bayer,1704,4066
89,gerardo,miller,901,3691
90,hilario,bechtelar,1906,3233
91,pura,denesik,3092,4432
92,salome,langworth,3098,3770
93,felicia,nader,2168,3464
94,kerry,vandervort,1635,3052
95,lesha,mosciski,194,974
96,frankie,reilly,1905,1944
97,michele,roberts,355,710
98,michaela,swaniawski,3976,4882
99,jamie,gottlieb,3818,4730
100,adolph,schneider,385,4650
