id,firstName,lastName,minutes,dataUsage
1,美咲,松田,1524,2163
2,茜,山口,3547,4949
3,健,遠藤,2325,4096
4,一輝,藤田,1503,4059
5,陽,松井,4610,4626
6,隼人,中川,2818,4845
7,悠真,小島,4336,4662
8,陽,石川,2299,3966
9,駿,青木,4825,4857
10,大地,山田,1961,4246
11,遼,岡本,830,917
12,真央,竹内,1941,3258
13,悠人,佐野,3779,4417
14,彩,後藤,176,214
15,愛子,山本,4935,4943
16,愛,岡本,4457,4877
17,莉子,谷口,2843,3658
18,愛美,高田,3273,4518
19,悠人,宮本,1396,3152
20,翔太,松尾,2558,3367
21,杏,小島,4195,4449
22,舞,石川,3966,4884
23,花音,渡辺,2250,2834
24,陽斗,近藤,4191,4718
25,陽子,中島,2441,3199
26,美優,佐々木,1773,4565
27,琴音,小林,1699,2614
28,大輔,木村,3490,3591
29,翔太,石井,3482,3962
30,誠,伊藤,4849,4864
31,真央,青木,1713,3780
32,颯,井上,2552,3446
33,奈々,内田,4985,4996
34,翔,高橋,729,1691
35,遼,大野,1161,4229
36,花音,阿部,4753,4821
37,杏奈,松本,1277,4274
38,瑛太,西村,786,4439
39,悠太,松尾,3824,4212
40,美羽,安藤,2774,2859
41,諒,小島,3996,4699
42,匠,原田,3374,3728
43,未来,山崎,1633,4736
44,悠斗,野村,1488,1779
45,翼,渡辺,2741,3947
46,遼,松田,2245,2978
47,空,松井,701,4634
48,大輔,松田,3705,4361
49,陽菜,佐々木,4538,4997
50,優花,上野,3318,4870
51,陽斗,木村,2353,4171
52,遥,後藤,3446,4055
53,航,斎藤,4680,4798
54,陽太,佐藤,2513,4162
55,愛美,佐野,2119,4972
56,亮,工藤,2567,3694
57,杏奈,佐々木,3435,3605
58,美緒,大塚,4405,4791
59,拓海,柴田,1165,3274
60,裕子,丸山,3186,4269
61,大樹,後藤,2957,4979
62,美桜,吉田,2500,3915
63,陸,千葉,1387,3604
64,遼,小林,2192,4377
65,大地,高田,2610,4146
66,航,田中,1136,2794
67,舞,野口,1720,3304
68,優,小山,3360,4434
69,瑛太,宮崎,3311,4460
70,優斗,山崎,4516,4689
71,翼,田中,4981,4992
72,直樹,福田,1991,2752
73,拓海,中山,1711,2326
74,碧,宮本,336,4398
75,海斗,大塚,1512,2768
76,颯,森,1996,4711
77,綾乃,小川,2479,3435
78,匠,小山,1537,1752
79,仁,石井,1690,1777
80,誠,高橋,2786,4862
81,美咲,原田,531,2494
82,桜,菊地,1647,4812
83,七海,高木,4153,4710
84,美緒,上田,1734,1948
85,直樹,久保,4823,4888
86,真央,竹内,3665,4582
87,大地,中島,1316,1514
88,亮,木村,993,4257
89,芽衣,石井,4377,4811
90,優,斎藤,2704,4249
